iter	Passed	Remaining
405	6127	8964
406	6140	8946
407	6156	8932
408	6171	8917
409	6189	8907
410	6206	8893
411	6222	8880
412	6238	8866
413	6255	8854
414	6270	8839
415	6285	8824
416	6300	8808
417	6315	8793
418	6332	8781
419	6347	8766
420	6361	8749
421	6376	8733
422	6390	8717
423	6406	8702
424	6419	8685
425	6434	8670
426	6448	8653
427	6461	8634
428	6474	8617
429	6488	8600
430	6502	8584
431	6517	8569
432	6531	8552
433	6545	8536
434	6558	8518
435	6572	8501
436	6587	8486
437	6602	8471
438	6617	8456
439	6632	8441
440	6647	8426
441	6662	8410
442	6676	8394
443	6693	8381
444	6706	8364
445	6720	8347
446	6737	8334
447	6751	8318
448	6764	8300
449	6779	8285
450	6794	8270
451	6810	8256
452	6824	8240
453	6838	8224
454	6852	8208
455	6868	8194
456	6883	8178
457	6897	8162
458	6913	8148
459	6927	8131
460	6941	8115
461	6955	8099
462	6968	8082
463	6983	8067
464	6997	8050
465	7011	8034
466	7026	8019
467	7040	8003
468	7055	7988
469	7069	7971
470	7082	7954
471	7095	7937
472	7109	7920
473	7123	7905
474	7138	7889
475	7151	7872
476	7165	7856
477	7179	7840
478	7193	7824
479	7207	7808
480	7221	7792
481	7235	7775
482	7249	7759
483	7262	7742
484	7276	7726
485	7289	7709
486	7302	7692
487	7316	7676
488	7329	7659
489	7344	7644
490	7358	7628
491	7372	7611
492	7388	7598
493	7402	7582
494	7417	7566
495	7432	7552
496	7447	7537
497	7462	7522
498	7477	7507
499	7493	7493
500	7509	7479
501	7525	7465
502	7540	7450
503	7557	7437
504	7571	7421
505	7587	7407
506	7603	7393
507	7619	7379
508	7632	7362
509	7646	7347
510	7662	7332
511	7677	7317
512	7691	7301
513	7704	7284
514	7718	7268
515	7731	7252
516	7746	7236
517	7761	7222
518	7776	7207
519	7790	7191
520	7803	7174
521	7816	7157
522	7831	7142
523	7845	7127
524	7860	7111
525	7874	7095
526	7888	7080
527	7903	7065
528	7919	7051
529	7932	7034
530	7946	7018
531	7960	7003
532	7975	6987
533	7988	6971
534	8003	6955
535	8017	6940
536	8030	6924
537	8044	6907
538	8057	6891
539	8071	6875
540	8085	6860
541	8099	6844
542	8113	6828
543	8126	6812
544	8140	6796
545	8154	6780
546	8170	6766
547	8185	6751
548	8199	6736
549	8213	6720
550	8228	6705
551	8241	6688
552	8254	6672
553	8269	6657
554	8282	6640
555	8295	6624
556	8309	6609
557	8324	6594
558	8338	6578
559	8351	6562
560	8365	6546
561	8379	6530
562	8393	6515
563	8407	6499
564	8420	6482
565	8433	6466
566	8446	6450
567	8460	6434
568	8474	6419
569	8490	6404
570	8503	6389
571	8516	6372
572	8530	6356
573	8544	6341
574	8557	6325
575	8573	6310
576	8586	6294
577	8599	6278
578	8612	6262
579	8626	6246
580	8640	6231
581	8654	6215
582	8668	6200
583	8682	6184
584	8696	6169
585	8711	6154
586	8724	6138
587	8739	6123
588	8753	6108
589	8767	6092
590	8781	6077
591	8794	6061
592	8808	6045
593	8821	6029
594	8835	6013
595	8848	5997
596	8860	5981
597	8874	5965
598	8887	5949
599	8903	5935
600	8917	5920
601	8932	5905
602	8946	5889
603	8961	5875
604	8975	5859
605	8989	5844
606	9004	5829
607	9018	5814
608	9033	5799
609	9047	5784
610	9061	5769
611	9076	5754
612	9093	5741
613	9113	5729
614	9128	5714
615	9141	5698
616	9155	5683
617	9170	5668
618	9184	5653
619	9200	5638
620	9215	5624
621	9230	5609
622	9245	5594
623	9259	5579
624	9274	5564
625	9289	5550
626	9304	5535
627	9317	5519
628	9332	5504
629	9346	5489
630	9361	5474
631	9374	5458
632	9388	5443
633	9401	5427
634	9416	5412
635	9429	5396
636	9443	5381
637	9457	5365
638	9472	5351
639	9486	5336
640	9500	5320
641	9514	5305
642	9528	5290
643	9542	5274
644	9558	5260
645	9573	5246
646	9588	5231
647	9603	5216
648	9619	5202
649	9634	5187
650	9650	5173
651	9665	5158
652	9680	5144
653	9696	5130
654	9712	5115
655	9728	5101
656	9747	5088
657	9766	5076
658	9784	5062
659	9800	5048
660	9817	5035
661	9834	5021
662	9850	5006
663	9864	4991
664	9881	4977
665	9896	4963
666	9910	4947
667	9926	4933
668	9938	4917
669	9952	4901
670	9966	4886
671	9980	4871
672	9994	4856
673	10009	4841
674	10025	4826
675	10039	4811
676	10053	4796
677	10068	4781
678	10082	4766
679	10096	4751
680	10110	4736
681	10125	4721
682	10140	4706
683	10154	4691
684	10169	4676
685	10183	4661
686	10198	4646
687	10212	4631
688	10228	4616
689	10242	4601
690	10255	4586
691	10270	4571
692	10286	4557
693	10300	4541
694	10313	4526
695	10326	4510
696	10340	4495
697	10354	4479
698	10367	4464
699	10381	4449
700	10395	4434
701	10409	4418
702	10422	4403
703	10437	4388
704	10452	4373
705	10466	4358
706	10480	4343
707	10494	4328
708	10509	4313
709	10524	4298
710	10540	4284
711	10556	4270
712	10571	4255
713	10586	4240
714	10602	4226
715	10618	4211
716	10635	4197
717	10650	4183
718	10666	4168
719	10682	4154
720	10698	4139
721	10713	4125
722	10727	4110
723	10741	4094
724	10755	4079
725	10770	4064
726	10785	4049
727	10798	4034
728	10811	4019
729	10825	4003
730	10839	3988
731	10852	3973
732	10867	3958
733	10882	3943
734	10895	3928
735	10909	3913
736	10922	3897
737	10936	3882
738	10952	3868
739	10965	3852
740	10978	3837
741	10992	3822
742	11006	3806
743	11019	3791
744	11033	3776
745	11047	3761
746	11060	3746
747	11074	3730
748	11090	3716
749	11104	3701
750	11118	3686
751	11132	3671
752	11145	3656
753	11159	3640
754	11173	3625
755	11186	3610
756	11199	3595
757	11212	3579
758	11225	3564
759	11239	3549
760	11252	3534
761	11267	3519
762	11282	3504
763	11295	3489
764	11309	3474
765	11322	3458
766	11335	3443
767	11350	3428
768	11364	3413
769	11377	3398
770	11391	3383
771	11404	3368
772	11418	3353
773	11433	3338
774	11446	3323
775	11460	3308
776	11474	3293
777	11487	3277
778	11502	3263
779	11516	3248
780	11530	3233
781	11544	3218
782	11558	3203
783	11571	3188
784	11585	3173
785	11601	3158
786	11616	3144
787	11632	3129
788	11648	3115
789	11664	3100
790	11680	3086
791	11696	3071
792	11712	3057
793	11728	3042
794	11744	3028
795	11761	3014
796	11777	2999
797	11793	2985
798	11809	2970
799	11824	2956
800	11839	2941
801	11854	2926
802	11869	2912
803	11884	2897
804	11900	2882
805	11915	2868
806	11929	2853
807	11943	2837
808	11957	2823
809	11971	2808
810	11984	2792
811	11998	2777
812	12010	2762
813	12024	2747
814	12037	2732
815	12051	2717
816	12064	2702
817	12079	2687
818	12093	2672
819	12107	2657
820	12120	2642
821	12133	2627
822	12147	2612
823	12161	2597
824	12174	2582
825	12189	2567
826	12202	2552
827	12216	2537
828	12230	2522
829	12245	2508
830	12259	2493
831	12271	2477
832	12285	2463
833	12299	2448
834	12314	2433
835	12328	2418
836	12341	2403
837	12354	2388
838	12367	2373
839	12381	2358
840	12395	2343
841	12409	2328
842	12423	2313
843	12436	2298
844	12450	2283
845	12464	2268
846	12477	2253
847	12491	2238
848	12504	2224
849	12517	2209
850	12531	2194
851	12544	2179
852	12559	2164
853	12574	2149
854	12589	2134
855	12603	2120
856	12617	2105
857	12631	2090
858	12644	2075
859	12657	2060
860	12672	2045
861	12685	2030
862	12700	2016
863	12712	2001
864	12726	1986
865	12740	1971
866	12754	1956
867	12768	1941
868	12781	1926
869	12797	1912
870	12811	1897
871	12825	1882
872	12841	1868
873	12855	1853
874	12869	1838
875	12885	1824
876	12900	1809
877	12913	1794
878	12926	1779
879	12942	1764
880	12957	1750
881	12971	1735
882	12983	1720
883	12997	1705
884	13011	1690
885	13025	1675
886	13038	1661
887	13053	1646
888	13066	1631
889	13081	1616
890	13095	1602
891	13108	1587
892	13122	1572
893	13136	1557
894	13150	1542
895	13164	1527
896	13177	1513
897	13191	1498
898	13204	1483
899	13218	1468
900	13233	1454
901	13246	1439
902	13261	1424
903	13273	1409
904	13286	1394
905	13300	1379
906	13313	1365
907	13327	1350
908	13342	1335
909	13357	1321
910	13369	1306
911	13383	1291
912	13397	1276
913	13411	1261
914	13424	1247
915	13437	1232
916	13450	1217
917	13464	1202
918	13479	1188
919	13493	1173
920	13507	1158
921	13520	1143
922	13533	1128
923	13548	1114
924	13562	1099
925	13576	1084
926	13589	1070
927	13603	1055
928	13616	1040
929	13630	1025
930	13644	1011
931	13656	996
932	13671	981
933	13684	966
934	13697	952
935	13711	937
936	13724	922
937	13739	908
938	13753	893
939	13767	878
940	13781	864
941	13795	849
942	13809	834
943	13823	820
944	13836	805
945	13850	790
946	13864	775
947	13881	761
948	13896	746
949	13909	732
950	13923	717
951	13937	702
952	13982	689
953	14001	675
954	14021	660
955	14039	646
956	14054	631
957	14075	617
958	14090	602
959	14106	587
960	14121	573
961	14140	558
962	14156	543
963	14170	529
964	14184	514
965	14198	499
966	14213	485
967	14227	470
968	14243	455
969	14256	440
970	14270	426
971	14285	411
972	14301	396
973	14315	382
974	14329	367
975	14344	352
976	14358	338
977	14371	323
978	14385	308
979	14400	293
980	14414	279
981	14429	264
982	14443	249
983	14457	235
984	14472	220
985	14486	205
986	14500	190
987	14514	176
988	14528	161
989	14544	146
990	14558	132
991	14572	117
992	14586	102
993	14599	88
994	14613	73
995	14629	58
996	14643	44
997	14657	29
998	14671	14
999	14687	0
